B-numbers,gene,Galactose,L-alanine,D-alanine,Mannose,Glucosamine,Thymidine,Adenosine,Saccharate,Acetate,α-ketoglutarate,Malate,Succinate,Fumarate,Ribose,Fucose,Glycerol,Lactate,Oxaloacetate,Pyruvate,Galacturonate,Maltose,Fructose,Trehalose,Mannitol,Sorbitol,Glucuronate,Gluconate,Xylose,Glucose,N-acetyl Glucosamine,n_grows_01,rank_01,n_grows_05,rank_05,n_grows_1,rank_1
b3281,aroE,0.005642672065716675,0.042693867314267366,0.020512113653115827,0.015722512976687898,0.008192323006264352,0.10565076483295087,0.029392967740456587,0.013817235381759978,0.009469652729884582,0.0015264406416588467,0.026229804013502816,0.00429337222807321,0.016231208745295187,0.1960028386799595,0.006514052911311558,0.0028020643083362206,0.02471325801596244,0.0,0.00147876998382987,0.015425570716131067,0.0008881873083045022,0.04194781981175375,0.0019425954708745335,0.0014132571637856522,0.009339836456101615,0.004618473445297123,0.055685815539404375,0.021587786010382998,0.001119265674748843,0.06702990133517026,6.666666666666667,25.0,0.0,15.0,0.0,12.0
b2913,serA,0.02428902471607927,0.005911792114441573,0.019380477743150548,0.005425440949622698,0.022245819093501113,0.1680145451245558,0.011912845681591977,0.007224735729165508,0.016184353583846466,0.0028459665941847736,0.013975053829545756,0.0,0.03656409255434801,0.16795112443080937,0.0037341431427083947,0.01647494861804522,0.04596899666128097,0.0,0.0028583701504703418,0.0112319922390053,0.006062364077514455,0.05447081371581859,0.009959047602333453,0.002162902272554144,0.001102312736448709,0.0007366489273615009,0.08565641833231194,0.0,0.0036752197510464893,0.09315366982903,6.666666666666667,26.0,0.0,16.0,0.0,13.0
b2551,glyA,0.03094975357899971,0.0,0.03521038221558617,0.01657842819053699,0.036925834595703214,0.201603645464509,0.07322190649491173,0.023905680373922173,0.04124141003246033,0.02363541048380846,0.026031212881500853,0.016740931303519703,0.04964278396210589,0.1766930704553271,0.014537876547654859,0.015907775572152554,0.03427743889402172,0.0,0.011792387611949848,0.024428333400411176,0.013886009679728901,0.06992241715048943,0.025520805603660206,0.019873339730023094,0.016083134937608885,0.012462933840139252,0.10938657708956746,0.0,0.016999280727290487,0.10648618745077529,13.333333333333334,12.0,0.0,17.0,0.0,14.0
b2599,pheA,0.0291455649721096,0.0,0.04823701187810132,0.004778297678714263,0.0,0.14336912954233058,0.043091706710686274,0.01927530021621128,0.02397248852880761,0.011089794894666116,0.04052860252866735,0.008906020079567888,0.027893061608679052,0.15226847725573767,0.003014713284771548,0.12279464821169885,0.05620433077539422,0.29171607956056633,0.0021949214501697095,0.02211595046961973,0.022577105763720556,0.08826395796235174,0.00022691646510430134,0.008464114272306788,0.005424684573376768,0.002341066324340582,0.15224793589051497,0.012413774299757563,0.004263671475577862,0.10633973599920848,20.0,11.0,0.0,18.0,0.0,15.0
b0242,proB,0.02273791647825015,0.02350333120872007,0.034159447304719134,0.021915240463150177,0.05429921507819,0.3379217868955502,0.004454647764467455,0.0120580160264481,0.020036897945987387,0.017478822653358185,0.0525979772051215,0.01566337313432922,0.014972133204672597,0.01422960324309558,0.013952297735135824,0.04374802723505023,0.031582409390175176,0.07503603253280818,0.03112616296103272,0.0031180916098452645,0.007918067086997495,0.055659192812109154,0.00775338052343725,0.03504399189938421,0.0,0.010671814016366646,0.011176598607561797,0.019436652097846892,0.0,0.020926403148990014,3.3333333333333335,30.0,0.0,19.0,0.0,16.0
b0003,thrB,0.0,0.0057571618622268535,0.029370819758135484,0.002091516950507387,0.013145819027377654,0.2976031483420502,0.0029761835956464812,0.008805904257769441,0.02263047757391788,0.002240915600249742,0.0002817314815931247,0.0,0.02216091371860445,0.0,0.0037952126597839606,0.0026090904031813122,0.003007531922551463,0.0034041133246214914,0.001545598379214426,0.0024374536024662657,0.012900848507789848,0.06899678220358121,0.0,0.0021950362939775247,0.0,0.0,0.012408190452401836,0.008977717709672891,0.001219585765079048,0.019454962963011066,3.3333333333333335,31.0,0.0,20.0,0.0,17.0
b0074,leuA,0.049704005592130646,0.023046079618544008,0.051930465173529235,0.005812829838171612,0.05034347991682329,0.23655705273015143,0.01426097033100811,0.012241972638452774,0.05133152615885833,0.006298981595475616,0.0,0.004336341107290933,0.02119131407441372,0.001598078306613035,0.0,0.01197899234852028,0.046730541449070226,0.006210705867714842,0.004262875170695501,0.0025479400788380774,0.01330466746716427,0.09605050779433694,0.005983688592294922,0.016955992117163813,0.006833859990507779,0.005756868898356775,0.03326766986814356,0.007967899940593439,0.009399351968865021,0.014074161119468732,3.3333333333333335,32.0,0.0,21.0,0.0,18.0
b0071,leuD,3.1978306376423144e-05,0.02518277014147111,0.03805819521565476,0.016142838678756464,0.04106152782640306,0.21847185011505088,0.0,0.0022017974688130423,0.0315180190254598,0.016237204768911613,0.00650400752761733,0.0087042026049765,0.007384822344697044,0.0092723413926132,0.007811298792670051,0.013053509373026271,0.01901371487229095,0.012765705811257643,0.0007972433578350839,0.003321708624299682,0.0007544249510569811,0.05658099551648892,0.0,0.02087120533863386,0.012107777926431286,0.007767154177950029,0.014221882450361512,0.010053903795999174,0.0,0.0,3.3333333333333335,33.0,0.0,22.0,0.0,19.0
b0386,proC,0.028839684885063877,0.01405075908920493,0.007611602177665425,0.003229213807439206,0.04342357068666619,0.20177767858507997,0.002286386958867138,0.018230780705730865,0.03472717959897367,0.0011550873099848036,0.002282910267240435,0.01656594127723368,0.006475288357806771,0.01053092285734524,0.008656359570205,0.009340949303273116,0.01402380908529862,0.01985856879183585,0.009611128761385299,0.0,0.019770654152179743,0.07332587533461139,0.005583353615917202,0.015542780034005511,0.012777011716006495,0.014699596577901586,0.02744990403071408,0.005119470551750143,0.0026725354321235177,0.026738528468205635,3.3333333333333335,34.0,0.0,23.0,0.0,20.0
b2022,hisB,0.024187165012139956,0.034084745976649566,0.032809800636217766,0.0,0.015751682161973802,0.014162950833036566,0.023769118837934047,0.0071643763529517695,0.010218636391572757,0.011652224515146662,0.01683779129144428,0.005613992067253811,0.044588587924538084,0.0032546129455798788,7.794618181065383e-05,0.008229776024471515,0.03127257477112972,0.0,0.0,0.032230885236255245,0.0025377810319450046,0.06135386363663348,0.0048150804110047764,0.0,0.0032750377037392376,0.0,0.1515083526619258,0.13902890362539197,0.00018199476996148996,0.15270912341907136,10.0,18.0,0.0,24.0,0.0,21.0
