Environment,Species,Pair,N,C,Aux1,Aux2,Mean,SEM,mono_aux1,Aux_OD_for_norm_mean1,Aux_OD_for_norm_sem1,mono_aux2,Aux_OD_for_norm_mean2,Aux_OD_for_norm_sem2,Auxs_growth_wo_AA,Norm_mean,Norm_sem,NS,CS,WT_mean,WT_sem,M_mean,M_sem,F_mean,F_sem,R_mean,R_sem,C_mean,C_sem,S_mean,S_sem,L_mean,L_sem,max_aux_mean,max_aux_sem,min_aux_mean,min_aux_sem
AmSu + NoC,Ec,R+L,AmSu,NoC,R,L,0.005,0.0,R,0.005,0.0,L,0.005,0.0,0.01,0.005,0.0,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.0105,0.004924428900898053,0.005,0.0
AmSu + NoC,Ec,S+L,AmSu,NoC,S,L,0.005,0.0,S,0.005,0.0,L,0.005,0.0,0.01,0.005,0.0,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0
AmSu + NoC,Ec,M+M,AmSu,NoC,M,M,0.005,0.0,M,0.005,0.0,M,0.005,0.0,0.01,0.005,0.0,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.005,0.0,0.005,0.0
AmSu + NoC,Ec,F+R,AmSu,NoC,F,R,0.0055000000000000005,0.0003415650255319866,F,0.005,0.0,R,0.005,0.0,0.01,0.005,0.0003415650255319866,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.0105,0.004924428900898053,0.0075,0.0018211717839530315
AmSu + NoC,Ec,M+R,AmSu,NoC,M,R,0.005666666666666667,0.0004944132324730441,M,0.005,0.0,R,0.005,0.0,0.01,0.005,0.0004944132324730441,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.0105,0.004924428900898053,0.005,0.0
AmSu + NoC,Ec,R+R,AmSu,NoC,R,R,0.005,0.0,R,0.005,0.0,R,0.005,0.0,0.01,0.005,0.0,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.0105,0.004924428900898053,0.0105,0.004924428900898053
AmSu + NoC,Ec,C+S,AmSu,NoC,C,S,0.005,0.0,C,0.005,0.0,S,0.005,0.0,0.01,0.005,0.0,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0
AmSu + NoC,Ec,F+S,AmSu,NoC,F,S,0.005,0.0,F,0.005,0.0,S,0.005,0.0,0.01,0.005,0.0,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.0075,0.0018211717839530315
AmSu + NoC,Ec,M+S,AmSu,NoC,M,S,0.005,0.0,M,0.005,0.0,S,0.005,0.0,0.01,0.005,0.0,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0
AmSu + NoC,Ec,R+S,AmSu,NoC,R,S,0.005,0.0,R,0.005,0.0,S,0.005,0.0,0.01,0.005,0.0,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.0105,0.004924428900898053,0.008833333333333334,0.0019564707454438916
