fold,block,repeat,rmse_increase,base_rmse,rmse_perm,n_test
7,Prototroph growth,2,0.00401904265706985,0.02716226536153339,0.031181308018603242,57
7,Prototroph growth,3,0.003204717409243052,0.02716226536153339,0.030366982770776443,57
7,Prototroph growth,4,0.006372590555496438,0.02716226536153339,0.03353485591702983,57
7,Prototroph growth,5,0.0025108421365058475,0.02716226536153339,0.02967310749803924,57
7,Prototroph growth,6,0.0032389983663480074,0.02716226536153339,0.0304012637278814,57
7,Prototroph growth,7,0.004979617567194727,0.02716226536153339,0.03214188292872812,57
7,Prototroph growth,8,0.0019918162849440653,0.02716226536153339,0.029154081646477457,57
7,Prototroph growth,9,0.002708342304168044,0.02716226536153339,0.029870607665701435,57
7,Environment,0,0.0035573555343079537,0.02716226536153339,0.030719620895841345,57
7,Environment,1,0.008995837477431046,0.02716226536153339,0.03615810283896444,57
7,Environment,2,0.0076619788217667725,0.02716226536153339,0.034824244183300164,57
7,Environment,3,0.008131813030768029,0.02716226536153339,0.03529407839230142,57
7,Environment,4,0.00875017573112244,0.02716226536153339,0.03591244109265583,57
7,Environment,5,0.008761443536211687,0.02716226536153339,0.03592370889774508,57
7,Environment,6,0.00506557900603849,0.02716226536153339,0.03222784436757188,57
7,Environment,7,0.009403723291339566,0.02716226536153339,0.03656598865287296,57
7,Environment,8,0.00880952261330771,0.02716226536153339,0.0359717879748411,57
7,Environment,9,0.010318231770852324,0.02716226536153339,0.037480497132385715,57
7,Species,0,0.00872509179419921,0.02716226536153339,0.0358873571557326,57
7,Species,1,0.006303632582195101,0.02716226536153339,0.03346589794372849,57
7,Species,2,0.010799390106535273,0.02716226536153339,0.037961655468068664,57
7,Species,3,0.011861305157211607,0.02716226536153339,0.039023570518745,57
7,Species,4,0.006366428133436006,0.02716226536153339,0.0335286934949694,57
7,Species,5,0.011128750949494504,0.02716226536153339,0.038291016311027895,57
7,Species,6,0.011472875459581117,0.02716226536153339,0.03863514082111451,57
7,Species,7,0.005280135678681103,0.02716226536153339,0.032442401040214494,57
7,Species,8,0.015025318992583601,0.02716226536153339,0.04218758435411699,57
7,Species,9,0.008775748600822648,0.02716226536153339,0.03593801396235604,57
7,AA requirements,0,0.0032434504849380673,0.02716226536153339,0.03040571584647146,57
7,AA requirements,1,0.002348174152296302,0.02716226536153339,0.029510439513829693,57
7,AA requirements,2,0.003774916659154092,0.02716226536153339,0.030937182020687484,57
7,AA requirements,3,0.003519480140387752,0.02716226536153339,0.030681745501921143,57
7,AA requirements,4,0.003381027075172148,0.02716226536153339,0.03054329243670554,57
7,AA requirements,5,0.003870506859187904,0.02716226536153339,0.031032772220721296,57
7,AA requirements,6,0.0012638301635566097,0.02716226536153339,0.02842609552509,57
7,AA requirements,7,0.004495672896375855,0.02716226536153339,0.031657938257909246,57
7,AA requirements,8,0.00280269469802159,0.02716226536153339,0.02996496005955498,57
7,AA requirements,9,0.001131717542877067,0.02716226536153339,0.02829398290441046,57
8,Auxotroph type,0,0.012535245101457884,0.015696066683203103,0.028231311784660987,75
8,Auxotroph type,1,0.021511078113924494,0.015696066683203103,0.0372071447971276,75
8,Auxotroph type,2,0.01215906458739361,0.015696066683203103,0.027855131270596713,75
8,Auxotroph type,3,0.01756909443756186,0.015696066683203103,0.03326516112076496,75
