name	short	t0set	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	u
set1IT038	pyruvate (C)	6/19/2014 Keio_ML9_set1	38	1818363	0	1237898	1226809	219	618.5	336.480800877674	0.356742545671069	0.164191895101048	0.673233348176256	0.645434697320285	0.229324700955334	0.054021658738942	-0.0426778152534846	1.9858418035152	TRUE
set1IT039	succinate (C)	6/19/2014 Keio_ML9_set1	39	1610300	0	1083528	1071170	163.5	618.5	293.793198025233	0.487928397897553	0.233790323706708	0.736965594166206	0.645434697320285	0.256497503238999	0.0225151717906835	-0.0501762606938118	6.38914479025182	TRUE
set1IT040	succinate (C)	6/19/2014 Keio_ML9_set1	40	1786544	0	1205679	1193047	185.5	618.5	327.220789906747	0.485296461703187	0.218082637160602	0.741868555693607	0.645434697320285	0.316277657156737	0.0724964383386662	-0.0508930645481954	5.92660071365207	TRUE
set1IT041	Glycolic Acid (C)	6/19/2014 Keio_ML9_set1	41	1742803	0	1180301	1168583	194	618.5	320.510970927043	0.555259682396057	0.246348080748086	0.694034199868626	0.645434697320285	0.348335017150008	0.108332257053424	-0.018636157635039	4.14636893287988	TRUE
set1IT042	Glycolic Acid (C)	6/19/2014 Keio_ML9_set1	42	1581733	0	1071770	1061089	178	618.5	291.028250137137	0.536271380578373	0.252376385990856	0.710493382805015	0.645434697320285	0.31352673824622	0.0735104713300507	-0.0310628496819651	4.53948097703447	TRUE
set1IT043	D-Mannitol (C)	6/19/2014 Keio_ML9_set1	43	1647074	0	1118974	1109585	197	618.5	304.329402084476	0.314277962680283	0.163937101379165	0.644341047800087	0.645434697320285	0.239890323446365	0.108360793639547	-0.0817363988056818	0.910913643650574	TRUE
set1IT044	D-Mannitol (C)	6/19/2014 Keio_ML9_set1	44	1670062	0	1135152	1125610	199	618.5	308.724629731212	0.300207510829879	0.162951288815342	0.660793913680802	0.645434697320285	0.240832517625509	0.0147632998829095	-0.0917946361516112	1.14394994478789	TRUE
set1IT045	D-Galacturonic Acid (C)	6/19/2014 Keio_ML9_set1	45	1721912	0	1170890	1160720	201	618.5	318.3543609435	0.400801586558603	0.160441374279592	0.664132714154764	0.645434697320285	0.278328935841611	0.0742216519539562	-0.0818408534586936	1.74774095676932	TRUE
set1IT046	D-Galacturonic Acid (C)	6/19/2014 Keio_ML9_set1	46	1599315	0	1085830	1076351	189	618.5	295.214207350521	0.374965942552089	0.166776949296001	0.647698256069119	0.645434697320285	0.289635402246305	0.0438620593856077	-0.0853992962694998	1.92687415693107	TRUE
set1IT047	Glycerol (C)	6/19/2014 Keio_ML9_set1	47	1468770	0	999609	991355	173	618.5	271.902084476138	0.322690265348316	0.15976359821998	0.662605103766866	0.645434697320285	0.238717711902539	0.109776593062105	-0.0817582524548489	1.08464902262539	TRUE
set1IT048	Glycerol (C)	6/19/2014 Keio_ML9_set1	48	1629671	0	1107939	1098537	189	618.5	301.299232035107	0.317862292300433	0.164738573208647	0.662965012722429	0.645434697320285	0.250228998846297	0.0797164470741421	-0.0797342012373244	1.2203599212853	TRUE
set1IT049	Time0	6/19/2014 Keio_ML9_set1	49	1597750	0	1089887	1082227	186.5	431	296.825836533187	0.0159374422076387	0.154600886139544	0.637429920615292	0.649636826150562	0.00705065723461088	0.0248403675419101	-0.00202970107767106	1.01749492072515	FALSE
set1IT050	Time0	6/19/2014 Keio_ML9_set1	50	1755769	0	1197394	1189053	203.5	414.5	326.12534284147	0.032843391138178	0.156494438103025	0.641824837676833	0.657398336847888	-0.0397644050089614	-0.0163286411012037	-0.0327799015401198	0.851225976920326	FALSE
set1IT051	D-Sorbitol (C)	6/19/2014 Keio_ML9_set1	51	1679862	0	1141913	1132485	198	618.5	310.610257816786	0.344310713068219	0.161684961854776	0.665580960929441	0.645434697320285	0.259650567551314	0.0401547071593983	-0.0834491184682942	0.903746010809333	TRUE
set1IT052	D-Sorbitol (C)	6/19/2014 Keio_ML9_set1	52	1622984	0	1103540	1094474	193	618.5	300.18486012068	0.328565200396885	0.161118342918795	0.67069237474704	0.645434697320285	0.294894501166716	0.0612801784707238	-0.0830565753699123	0.881526190240834	TRUE
set1IT053	L-Malic (C)	6/19/2014 Keio_ML9_set1	53	1557921	0	1047809	1036599	166	618.5	284.311300054855	0.475033696928876	0.257174932842953	0.745427172914402	0.645434697320285	0.286472167155201	0.0867844406169248	-0.0459266459130652	4.75860064178204	TRUE
set1IT054	L-Malic (C)	6/19/2014 Keio_ML9_set1	54	1736326	0	1166890	1154490	183	618.5	316.6456390565	0.457336340302031	0.255326211177674	0.736965594166207	0.645434697320285	0.297361197362124	0.0483234434837245	-0.0581285828003577	4.96484052001415	TRUE
set1IT055	D-Trehalose (C)	6/19/2014 Keio_ML9_set1	55	1680525	0	1140805	1131278	196	618.5	310.279210093253	0.417700158531999	0.174747102397134	0.668018240448713	0.645434697320285	0.263160984851627	0.0500324732644822	-0.106745171612487	1.82030563415449	TRUE
